"org.sat4j:org.sat4j.pb",3,"org.sat4j:org.sat4j.sat"|"org.apache.maven.mercury:mercury-md-sat"|"org.sat4j:org.sat4j.maxsat"|
"org.khronos:opengl-api",1,"com.google.android:android"|
"org.ops4j.pax.scanner:pax-scanner-obr",1,"org.ops4j.pax.scanner:pax-scanner-all-scanners"|
"org.trailsframework:trails-core",2,"org.trailsframework:trails-security"|"org.trailsframework:trails-test"|
"org.objectweb.fractal.juliac:juliac-julia-membranes-oo",2,"org.objectweb.fractal.juliac.examples:large"|"org.objectweb.fractal.juliac.examples:helloworld-bin-assembly"|
"org.apache.karaf.deployer:org.apache.karaf.deployer.blueprint",1,"org.apache.karaf:apache-karaf"|
"se.vgregion.webbisar:webbisar-core-bc-module-portlet",1,"se.vgregion.webbisar:webbisar-core-bc-app"|
"org.jbpm.jbpm4:jbpm-jpdl",1,"org.mule.modules:mule-module-jbpm"|
"net.sf.retrotranslator:retrotranslator-runtime",3,"org.ow2.frascati:frascati-xquery"|"org.objectweb.fractal.fractaladl:fractal-adl-jdk14-all"|"org.mule.modules:mule-module-scripting"|
"org.ow2.bundles:ow2-bundles-externals-commons-collections",4,"org.ow2.orchestra:orchestra-cxf-osgi"|"org.ow2.orchestra:orchestra-axis-osgi"|"org.ow2.orchestra:orchestra-pvm"|"org.ow2.orchestra:orchestra-cluster-jgroups"|
"org.exoplatform.ws:exo.ws.rest.core",1,"org.exoplatform.jcr:exo.jcr.component.ext"|
"org.objectweb.fractal:fractal",2,"org.objectweb.fractal.fractalswing:fractal-swing"|"org.objectweb.fractal.fraclet:xdoclet-plugin-fractal"|
"org.nakedobjects.core:metamodel",2,"org.nakedobjects.plugins:headless-embedded"|"org.nakedobjects.core:runtime"|
"org.ow2.jonas:jonas-tm-jotm-core",1,"org.ow2.jonas:jonas-client-core"|
"org.ow2.jonas.cxf.transport.mdb:mdb-modules-transport",5,"org.ow2.jonas.cxf.transport.mdb:mdb-examples-basic-modules-server-endpoint"|"org.ow2.jonas.cxf.transport.mdb:mdb-examples-basic-modules-client-receiver"|"org.ow2.jonas.cxf.transport.mdb:mdb-examples-basic-assemblies-ear"|"org.ow2.jonas.cxf.transport.mdb:mdb-itests-ear"|"org.ow2.jonas.cxf.transport.mdb:mdb-examples-basic-modules-client-sender"|
"org.codehaus.waffle:waffle-taglib",1,"org.vraptor:mydvds"|
"org.ow2.sirocco.vmm:sirocco-vmm-agent-driver-xenapi",2,"org.ow2.sirocco.vmm:sirocco-vmm-agent-mega-bundle"|"org.ow2.sirocco.vmm:sirocco-vmm-agent"|
"org.sonatype.http-testing-harness:hth-api",3,"org.sonatype.http-testing-harness:server-provider"|"org.sonatype.http-testing-harness:junit-runner"|"org.sonatype.http-testing-harness:harness-runner"|
"org.subethamail:subethasmtp-smtp",1,"org.subethamail:subethasmtp-wiser"|
"org.codehaus.jackson:jackson-xc",5,"com.sun.jersey:jersey-json"|"org.jvnet.hudson.main:hudson-rest-common"|"org.openengsb.framework:org.openengsb.framework.common"|"org.jboss.resteasy:resteasy-jackson-provider"|"org.openengsb.core:openengsb-core-common"|
